period,date,title,event,location,invited_or_volunteered,international
Assistant Professor,2017-10-23,The effect of host genetics on maize-microbiome interaction,ASA-CSSA-SSSA Annual Meeting,"Tampa, Florida",,
Assistant Professor,2017-12-04,The Maize Microbiome as a Target for Breeding and Management,Annual Corn Breeder’s Research Meeting,"Chicago, Illinois",,
Assistant Professor,2018-02-19,Quantitative genetics of the maize microbiome,UGA Plant Pathology Seminar Series,"Athens, Georgia",,
Assistant Professor,2018-03-22,The Maize Microbiome,MaizeGDB workshop in conjunction with the 60th Annual Maize Genetics Conference,"Saint Malo, France",,TRUE
Assistant Professor,2018-07-23,Quantitative Genetics of the Maize Microbiome,Chinese Agriculture University – University of Georgia collaboration conference,"Beijing, China",,TRUE
Assistant Professor,2018-10-12,Harnessing Plant Microbiomes for Agriculture,University of Kentucky Department of Plant & Soil Sciences Seminar Series,"Lexington, Kentucky",invited,
Assistant Professor,2018-11-06,La Microbiome del Maíz,UNITEC Universidad Tecnológica de México – Campus León Seminar Series,"Guanajuato, Mexico (via webinar)",invited,TRUE
Assistant Professor,2019-01-16,Genomics of Crop-Microbiome interactions,Plant & Animal Genome XXVII,"San Diego, California",,TRUE
Assistant Professor,2019-04-13,The Effect of Host Genetics on the Maize Leaf Microbiome,UGA Microbiome Seminar Series,"Athens, Georgia",,
Assistant Professor,2019-07-22,Harnessing Microbes to Improve Agriculture,Noble Research Institute seminar,"Ardmore, Oklahoma",invited,
Assistant Professor,2019-11-11,Unraveling the Mechanisms of Microbe-Induced Abiotic Stress tolerance in Plants,Crop Science Society of America annual meeting,"San Antonio, Texas",,
Associate Professor,2020-02-05,Harnessing Endophytes to Improve Agriculture,FFAR Foster Our Future,"Washington, D.C.",invited,
Associate Professor,2020-03-02,Genotype-by-Genotype Interactions between Corn and Microbes,Illinois’ Corn Breeders’ School,"Champaign, Illinois",,
Associate Professor,2020-08-19,Understanding Genotype-by-Genotype Interactions between Corn and Microbes,National Association of Plant Breeders Annual Meeting,Virtual,,
Associate Professor,2020-10-23,Understanding Genotype-by-Genotype Interactions between Crops and Microbes,University of Illinois at Urbana-Champaign Departmental Seminar Series,"Virtual [Urbana-Champaign, Illinois]",,
Associate Professor,2021-02-22,Investigating genotype-by-genotype interactions between corn and microbes,Microbiome Movement AgBiotech,Virtual,,
Associate Professor,2021-03-17,Habitat or Mastermind? The role of plant genetics in shaping microbiomes,UGA Department of Animal & Dairy Science Seminar Series,"Athens, Georgia",,
Associate Professor,2021-03-25,Genotype-by-Genotype Interactions between Corn and Microbes,Genetics of Maize-Microbe Interactions seminar series,Virtual,,
Associate Professor,2021-04-12,The Twists and Turns of an Agricultural Research and Communication Career in Academia,NAPB Early Career Working Group Webinar,Virtual,,
Associate Professor,2021-06-15,What You’ll Wish You’d Known in Grad School,UGA Institute of Bioinformatics Seminar Series,"Athens, Georgia",,
Associate Professor,2021-09-17,Habitat or Mastermind? How maize shapes its microbiomes,University of Wisconsin Department of Plant Breeding & Plant Genetics seminar series,"Madison, Wisconsin",,
Associate Professor,2021-11-18,Thanks for the Little Monsters: What We Owe Our Microbes,Athens Science Cafe,"Athens, Georgia",invited,
Associate Professor,2022-01-15,"A Large, Full Diallel of Tall Fescue for Dissecting Plant-Microbe Mutualism",Plant & Animal Genome XXIX,Virtual,,TRUE
Associate Professor,2023-10-04,Productive Partnerships: Helping plants and microbes work better together,University of Wisconsin Plant Cellular & Molecular Biology seminar series,"Madison, Wisconsin",invited,
Associate Professor,2024-01-15,"Genetic, Environmental, and GxE Effects of the Maize Microbiome across the United States",Plant & Animal Genome 31,"San Diego, California",volunteer,TRUE
Associate Professor,2024-01-23,The Genomes to Fields Initiative,Georgia Corn Short Course,"Tifton, Georgia",invited,
Associate Professor,2024-03-02,Genetic & Environmental Impacts on the Maize Microbiome across the United States,66th Annual Maize Genetics Conference,"Raleigh, North Carolina",volunteer,TRUE
Associate Professor,2024-04-24,AI in Plant Breeding – Panel Discussion,UGA AI in Plant Breeding Symposium,"Athens, Georgia",invited,
Associate Professor,2024-11-06,"Elusive Partnerships: Quantifying the Relationships between Maize, the Environment, and the Microbiome",Texas A&M Plant Pathology & Microbiology Departmental Seminar,"College Station, Texas",invited,
Associate Professor,2025-01-11,Mining Tropical Maize for Traits Associated with Aboveground Symbiotic Nitrogen Fixation,Plant & Animal Genome 32,"San Diego, California",invited,TRUE
Associate Professor,2025-01-14,Gene by Environment Interactions between Hosts and their Microbiomes,Plant & Animal Genome 32,"San Diego, California",invited,TRUE
Associate Professor,2025-02-12,"Fickle Partnerships: Understanding the Relationships between Maize, the Environment, and the Microbiome",Iowa State University Plant Breeding Departmental Seminar,"Ames, Iowa",invited,
Associate Professor,2025-09-25,Not Just the Facts: How to Communicate Science Well,UGA Integrated Precision Agriculture Student Club Seminar,"Athens, Georgia",invited,
Associate Professor,2025-09-29,Separating Genetic and Environmental Impacts on the Maize Microbiome ,Crop Science and Technology: Shaping the Future of Agriculture (Maize Research Institute Zemun Polje 80th Anniversary Conference),"Belgrade, Serbia",invited,TRUE
Associate Professor,2025-10-31,Not Just the Facts: Top Techniques for Communicating Science,NAPB Graduate Student Working Group Webinar,Virtual,invited,
